section,package,classification,purpose,notes
packages-repos,rpmfusion-free-release-rawhide,repo-config,Enable RPM Fusion Free,
packages-repos,rpmfusion-nonfree-release-rawhide,repo-config,Enable RPM Fusion Nonfree (NVIDIA + multimedia),
packages-repos,fedora-workstation-repositories,repo-config,Enable Fedora Workstation 3rd-party repos,
packages-repos,dnf-plugins-core,repo-config,DNF plugin framework,
packages-repos,dnf5-plugins,repo-config,DNF5 plugin framework (versionlock etc),
packages-kernel,kernel-modules-extra,kernel-extra,Extra kernel modules,Base kernel inherited from ucore-hci - NEVER upgrade in container
packages-kernel,kernel-devel,kernel-extra,Kernel development headers for akmod/DKMS,
packages-kernel,kernel-headers,kernel-extra,Kernel userspace headers,
packages-kernel,kernel-tools,kernel-extra,perf, cpupower etc,
packages-kernel,glibc-headers,build-dep,glibc dev headers,
packages-kernel,glibc-devel,build-dep,glibc dev libs,
packages-kernel,python3,runtime,Python 3 interpreter,Required by validate-kargs.py and mios CLI
packages-gnome,gnome-shell,critical-gnome,GNOME shell core,Auto-pulls mutter/gjs/gtk4/libadwaita/dconf/pipewire/polkit
packages-gnome,gnome-session-wayland-session,critical-gnome,Wayland-only session,GNOME 50 X11 removed
packages-gnome,gnome-control-center,critical-gnome,Settings UI,
packages-gnome,gnome-keyring,critical-gnome,Secret service daemon,
packages-gnome,gdm,critical-gnome,Display manager,
packages-gnome,ptyxis,desktop-app,Default GNOME terminal,
packages-gnome,nautilus,desktop-app,File manager,
packages-gnome,gnome-software,desktop-app,Flatpak manager (immutable systems),Kept - manages Flatpaks
packages-gnome,gnome-remote-desktop,desktop-app,RDP server (Wayland-native),
packages-gnome,gnome-backgrounds,desktop-app,Default wallpapers,
packages-gnome,gnome-shell-extension-appindicator,extension,SysTray support,
packages-gnome,gnome-shell-extension-dash-to-dock,extension,Dock,
packages-gnome,xdg-user-dirs,portal,User dirs,
packages-gnome,xdg-utils,portal,xdg-open etc,
packages-gnome,xdg-desktop-portal,portal,Portal core,
packages-gnome,xdg-desktop-portal-gnome,portal,GNOME backend,
packages-gnome,xdg-desktop-portal-gtk,portal,GTK backend,
packages-gnome,pipewire-alsa,audio,ALSA compat,
packages-gnome,pipewire-pulseaudio,audio,PulseAudio compat,
packages-gnome,wireplumber,audio,Session manager,
packages-gnome,gstreamer1,abi-fix,GStreamer 1.x core,Mandatory ABI fix - F43 base ships older GStreamer that crashes GNOME 50
packages-gnome,gstreamer1-plugins-base,abi-fix,GStreamer base plugins,
packages-gnome,gstreamer1-plugins-good,abi-fix,GStreamer good plugins,
packages-gnome,upower,hardware,Power management,
